inventory_id,product_id,warehouse_id,warehouse_name,location,stock_quantity,reserved_quantity,available_quantity,reorder_level,last_restocked,last_audit,created_timestamp
INV001,PROD001,WH001,New York Warehouse,A1-B2-C3,150,25,125,50,2025-01-10,2025-01-14,2025-01-15 08:30:15
INV002,PROD002,WH001,New York Warehouse,A2-B1-C4,200,30,170,75,2025-01-11,2025-01-14,2025-01-15 09:15:22
INV003,PROD003,WH002,Los Angeles Warehouse,B1-C2-D3,500,100,400,200,2025-01-12,2025-01-14,2025-01-15 10:45:33
INV004,PROD004,WH002,Los Angeles Warehouse,B2-C1-D4,300,50,250,100,2025-01-13,2025-01-14,2025-01-15 11:20:44
INV005,PROD005,WH003,Chicago Warehouse,C1-D2-E3,100,15,85,40,2025-01-14,2025-01-14,2025-01-15 12:10:55
INV006,PROD006,WH003,Chicago Warehouse,C2-D1-E4,250,40,210,80,2025-01-10,2025-01-14,2025-01-15 13:25:16
INV007,PROD007,WH001,New York Warehouse,A3-B2-C5,180,35,145,60,2025-01-11,2025-01-14,2025-01-15 14:40:27
INV008,PROD008,WH002,Los Angeles Warehouse,B3-C2-D5,400,60,340,150,2025-01-12,2025-01-14,2025-01-15 15:55:38
INV009,PROD009,WH003,Chicago Warehouse,C3-D2-E5,350,45,305,120,2025-01-13,2025-01-14,2025-01-15 16:30:49
INV010,PROD010,WH004,Houston Warehouse,D1-E2-F3,120,20,100,50,2025-01-14,2025-01-14,2025-01-15 17:45:50
INV011,PROD011,WH004,Houston Warehouse,D2-E1-F4,200,30,170,70,2025-01-10,2025-01-14,2025-01-15 18:20:01
INV012,PROD012,WH005,Phoenix Warehouse,E1-F2-G3,80,10,70,30,2025-01-11,2025-01-14,2025-01-15 19:35:12
INV013,PROD013,WH005,Phoenix Warehouse,E2-F1-G4,90,15,75,35,2025-01-12,2025-01-14,2025-01-15 20:50:23
INV014,PROD014,WH006,Philadelphia Warehouse,F1-G2-H3,300,50,250,100,2025-01-13,2025-01-14,2025-01-15 21:15:34
INV015,PROD015,WH006,Philadelphia Warehouse,F2-G1-H4,60,8,52,25,2025-01-14,2025-01-14,2025-01-15 22:30:45
INV016,PROD016,WH007,San Antonio Warehouse,G1-H2-I3,200,35,165,80,2025-01-10,2025-01-14,2025-01-15 23:45:56
INV017,PROD017,WH007,San Antonio Warehouse,G2-H1-I4,220,40,180,90,2025-01-11,2025-01-14,2025-01-15 00:00:07
INV018,PROD018,WH008,San Diego Warehouse,H1-I2-J3,150,25,125,60,2025-01-12,2025-01-14,2025-01-15 01:15:18
INV019,PROD019,WH008,San Diego Warehouse,H2-I1-J4,100,15,85,40,2025-01-13,2025-01-14,2025-01-15 02:30:29
INV020,PROD020,WH009,Dallas Warehouse,I1-J2-K3,80,12,68,35,2025-01-14,2025-01-14,2025-01-15 03:45:40
